Temperature,x-acc,y-acc,z-acc,Pressure,Load,Flow,,,Nitrogen,,,Frequency,,,Failure Alert,Diagnostic Code
132,203,159,192,134,151,-1,1,-1,-1,1,-1,1,-1,-1,1,3
108,97,169,122,157,110,-1,-1,1,-1,-1,1,-1,-1,1,1,4
238,247,199,177,164,243,-1,1,-1,-1,1,-1,1,-1,-1,1,3
143,148,136,156,110,95,-1,-1,1,-1,-1,1,-1,-1,1,1,4
212,249,162,180,226,142,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
316,247,224,177,308,226,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
247,224,254,122,163,274,-1,1,-1,-1,1,-1,1,-1,-1,1,3
136,138,93,104,75,117,-1,-1,1,-1,-1,1,-1,-1,1,1,4
216,259,218,236,202,217,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
181,224,181,218,209,142,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
184,202,203,170,192,234,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
170,200,181,193,174,156,-1,1,-1,-1,1,-1,1,-1,-1,1,5
164,181,136,167,156,156,-1,1,-1,-1,1,-1,1,-1,-1,1,3
127,137,108,103,98,114,-1,-1,1,-1,-1,1,-1,-1,1,1,4
138,256,201,229,204,187,-1,1,-1,-1,1,-1,1,-1,-1,1,5
203,220,190,134,149,201,-1,1,-1,-1,1,-1,1,-1,-1,1,3
138,108,182,80,117,77,-1,-1,1,-1,-1,1,-1,-1,1,1,4
242,223,331,270,222,279,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
308,243,194,243,268,137,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
139,190,141,174,176,139,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
113,160,90,175,136,174,-1,-1,1,-1,-1,1,-1,-1,1,1,4
149,236,184,221,139,156,-1,1,-1,-1,1,-1,1,-1,-1,1,5
179,249,109,228,198,147,-1,1,-1,-1,1,-1,1,-1,-1,1,5
140,145,135,155,139,135,-1,-1,1,-1,-1,1,-1,-1,1,1,4
174,195,164,177,154,198,-1,1,-1,-1,1,-1,1,-1,-1,1,3
174,204,179,203,169,234,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
156,199,246,249,195,180,-1,1,-1,-1,1,-1,1,-1,-1,1,5
139,116,92,135,103,148,-1,-1,1,-1,-1,1,-1,-1,1,1,4
273,200,163,209,272,133,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
192,225,169,170,169,216,-1,1,-1,-1,1,-1,1,-1,-1,1,3
176,250,237,76,205,60,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
185,212,187,187,189,147,-1,1,-1,-1,1,-1,1,-1,-1,1,5
204,234,300,158,159,171,-1,1,-1,-1,1,-1,1,-1,-1,1,3
100,155,199,208,147,237,-1,1,-1,-1,1,-1,1,-1,-1,1,3
231,207,239,173,199,195,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
231,169,178,141,189,181,-1,1,-1,-1,1,-1,1,-1,-1,1,3
205,228,160,237,231,145,-1,1,-1,1,-1,-1,1,-1,-1,-1,0
105,199,189,203,114,140,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
160,111,99,232,168,195,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
205,183,247,247,221,186,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
233,127,204,149,217,241,-1,1,-1,-1,1,-1,-1,1,-1,1,5
99,116,97,94,102,148,-1,-1,1,-1,-1,1,-1,-1,1,1,4
233,234,189,212,263,195,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
125,207,212,220,193,60,-1,1,-1,-1,1,-1,1,-1,-1,1,3
106,157,132,238,184,208,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
126,181,155,191,152,268,-1,1,-1,-1,1,-1,1,-1,-1,1,3
126,105,116,117,142,123,-1,-1,1,-1,-1,1,-1,-1,1,1,4
216,196,180,151,157,265,-1,1,-1,-1,1,-1,1,-1,-1,1,3
221,252,184,188,224,223,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
224,204,265,174,196,155,-1,1,-1,-1,1,-1,1,-1,-1,1,3
196,246,150,149,202,193,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
202,203,222,201,213,201,-1,1,-1,-1,1,-1,1,-1,-1,1,5
140,90,131,78,115,91,-1,-1,1,-1,-1,1,-1,-1,1,1,4
189,129,125,159,183,210,-1,1,-1,-1,1,-1,1,-1,-1,1,3
211,171,213,187,194,232,-1,1,-1,-1,1,-1,1,-1,-1,1,5
199,258,177,242,212,178,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
207,262,279,173,165,208,-1,1,-1,-1,1,-1,1,-1,-1,1,3
119,146,130,147,117,124,-1,-1,1,-1,-1,1,-1,-1,1,1,4
224,258,278,281,213,256,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
108,115,116,128,136,131,-1,-1,1,-1,-1,1,-1,-1,1,1,4
252,191,204,174,219,177,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
140,184,203,167,192,171,-1,1,-1,-1,1,-1,1,-1,-1,1,5
164,165,163,196,148,192,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
255,194,241,203,196,239,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
102,105,112,109,162,149,-1,-1,1,-1,-1,1,-1,-1,1,1,4
114,163,160,212,213,173,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
114,112,110,111,151,145,-1,-1,1,-1,-1,1,-1,-1,1,1,4
189,141,165,198,228,137,-1,1,-1,-1,1,-1,1,-1,-1,1,3
195,218,257,163,191,273,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
169,183,234,149,139,192,-1,1,-1,-1,1,-1,1,-1,-1,1,3
180,163,143,148,261,146,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
172,133,161,111,108,75,-1,-1,1,-1,-1,1,-1,-1,1,1,4
77,197,176,227,170,174,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
115,172,131,243,228,146,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
172,231,167,221,227,177,-1,1,-1,-1,1,-1,1,-1,-1,1,5
221,203,186,154,102,161,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
207,200,160,284,189,157,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
224,150,224,202,210,189,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
188,272,137,169,193,208,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
232,188,281,243,196,260,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
108,192,153,217,182,153,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
206,214,205,233,214,207,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
114,135,99,112,112,152,-1,-1,1,-1,-1,1,-1,-1,1,1,4
262,317,199,235,286,262,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
112,143,88,85,94,140,-1,-1,1,-1,-1,1,-1,-1,1,1,4
187,192,204,170,187,219,-1,1,-1,-1,1,-1,-1,1,-1,-1,0
149,106,126,114,104,100,-1,-1,1,-1,-1,1,-1,-1,1,1,4
153,155,156,167,149,244,-1,1,-1,-1,1,-1,1,-1,-1,1,3
148,120,186,232,123,226,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
178,190,248,154,140,194,-1,1,-1,-1,1,-1,1,-1,-1,1,3
186,232,185,186,205,177,-1,1,-1,-1,1,-1,1,-1,-1,1,5
165,169,162,181,164,215,-1,1,-1,-1,1,-1,1,-1,-1,1,3
219,222,189,157,177,159,-1,1,-1,-1,1,-1,1,-1,-1,1,3
225,138,157,185,119,220,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
147,145,97,142,139,158,-1,-1,1,-1,-1,1,-1,-1,1,1,4
180,167,177,192,195,161,-1,1,-1,1,-1,-1,1,-1,-1,-1,0
225,211,211,171,220,221,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
213,159,98,268,248,83,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
147,136,131,157,131,120,-1,-1,1,-1,-1,1,-1,-1,1,1,4
189,209,221,108,103,185,-1,1,-1,-1,1,-1,1,-1,-1,1,3
213,216,173,196,207,102,-1,1,-1,-1,1,-1,1,-1,-1,-1,0
239,149,231,195,210,248,-1,1,-1,-1,1,-1,1,-1,-1,1,5
200,205,158,202,177,184,-1,1,-1,-1,1,-1,1,-1,-1,1,5
194,202,217,265,188,218,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
257,219,148,161,269,193,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
301,187,239,175,291,269,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
251,246,154,233,251,207,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
251,173,247,183,221,274,-1,1,-1,-1,1,-1,1,-1,-1,1,5
135,114,128,141,142,142,-1,-1,1,-1,-1,1,-1,-1,1,1,4
240,280,315,317,307,271,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
238,181,221,237,205,273,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
220,143,122,208,138,322,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
189,213,188,148,151,91,-1,1,-1,-1,1,-1,1,-1,-1,1,3
204,242,186,197,212,245,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
259,226,211,190,205,231,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
162,198,211,237,164,221,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
202,163,103,143,187,218,-1,1,-1,-1,1,-1,1,-1,-1,1,3
173,182,130,198,191,87,-1,1,-1,-1,1,-1,1,-1,-1,1,3
212,148,193,216,222,182,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
194,174,222,132,175,212,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
157,217,153,152,193,115,-1,1,-1,-1,1,-1,1,-1,-1,1,5
127,204,129,197,228,179,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
185,217,225,179,215,210,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
204,263,241,278,180,248,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
121,112,128,132,152,124,-1,-1,1,-1,-1,1,-1,-1,1,1,4
190,163,175,171,175,136,-1,1,-1,-1,1,-1,1,-1,-1,1,3
231,185,138,123,168,287,-1,1,-1,-1,1,-1,1,-1,-1,1,3
153,151,193,229,185,195,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
129,117,174,179,167,143,-1,1,-1,-1,1,-1,1,-1,-1,1,3
259,251,166,220,257,166,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
169,171,179,171,173,146,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
192,240,182,256,155,252,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
159,171,169,198,187,137,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
317,207,204,134,316,219,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
153,184,137,202,161,139,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
81,132,106,124,155,132,-1,-1,1,-1,-1,1,-1,-1,1,1,4
142,96,154,140,173,108,-1,-1,1,-1,-1,1,-1,-1,1,1,4
231,325,373,326,251,287,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
203,129,189,182,195,252,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
148,200,191,209,163,134,-1,1,-1,-1,1,-1,1,-1,-1,1,3
178,199,200,189,167,179,-1,1,-1,-1,1,-1,1,-1,-1,1,5
177,184,171,149,176,194,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
175,188,165,175,180,141,-1,1,-1,-1,1,-1,1,-1,-1,1,5
174,208,150,172,165,187,-1,1,-1,-1,1,-1,1,-1,-1,1,5
198,214,245,70,181,168,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
107,161,81,126,102,168,-1,-1,1,-1,-1,1,-1,-1,1,1,4
246,250,234,245,289,214,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
228,227,209,171,197,197,-1,1,-1,-1,1,-1,1,-1,-1,1,3
186,192,229,204,141,211,-1,1,-1,-1,1,-1,1,-1,-1,1,5
208,227,150,264,249,185,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
225,150,150,187,234,127,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
136,236,203,148,123,191,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
194,169,143,183,186,244,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
261,205,193,219,264,220,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
274,207,160,272,278,181,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
259,215,157,181,226,234,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
188,173,244,235,182,242,-1,1,-1,-1,1,-1,1,-1,-1,1,5
224,190,361,263,208,217,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
203,178,177,240,185,187,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
164,180,167,167,168,146,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
225,131,152,187,183,212,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
258,206,229,237,234,265,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
197,155,154,180,136,272,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
115,240,142,185,163,108,-1,1,-1,-1,1,-1,1,-1,-1,1,5
139,178,214,213,178,138,-1,1,-1,-1,1,-1,1,-1,-1,1,3
211,183,206,141,138,178,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
226,209,258,239,205,277,-1,1,-1,-1,1,-1,1,-1,-1,-1,0
217,214,227,157,171,280,-1,1,-1,-1,1,-1,1,-1,-1,1,3
157,171,169,147,190,162,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
167,189,230,169,216,168,-1,1,-1,-1,1,-1,1,-1,-1,1,5
183,199,234,239,175,174,-1,1,-1,-1,1,-1,1,-1,-1,1,5
226,194,201,211,228,222,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
210,169,174,120,170,263,-1,1,-1,-1,1,-1,1,-1,-1,1,3
206,242,191,105,144,192,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
239,209,189,78,209,116,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
132,113,134,144,195,156,-1,-1,1,-1,-1,1,-1,-1,1,1,4
153,193,134,236,159,164,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
134,148,117,205,190,108,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
151,147,171,195,173,88,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
234,187,208,185,223,176,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
133,146,179,189,172,168,-1,1,-1,-1,1,-1,1,-1,-1,1,3
136,193,179,164,153,126,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
252,234,244,234,223,254,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
246,183,185,200,222,242,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
230,215,184,211,216,188,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
203,206,218,161,144,276,-1,1,-1,-1,1,-1,1,-1,-1,1,3
200,125,169,203,191,144,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
160,191,172,176,99,150,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
250,162,264,243,237,253,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
268,133,233,225,235,274,-1,1,-1,-1,1,-1,1,-1,-1,1,5
185,219,134,248,215,176,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
145,151,173,186,172,137,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
199,147,209,280,109,227,-1,1,-1,-1,1,-1,1,-1,-1,1,5
238,264,272,146,144,197,-1,1,-1,-1,1,-1,1,-1,-1,1,3
106,125,91,78,116,112,-1,-1,1,-1,-1,1,-1,-1,1,1,4
166,171,213,234,159,212,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
168,113,145,163,171,189,-1,1,-1,-1,1,-1,1,-1,-1,1,3
104,110,166,162,151,227,-1,1,-1,-1,1,-1,1,-1,-1,1,3
218,229,165,146,239,189,-1,1,-1,-1,1,-1,1,-1,-1,1,5
228,176,271,205,201,261,-1,1,-1,-1,1,-1,1,-1,-1,1,5
194,219,191,180,85,273,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
199,206,212,176,195,188,-1,1,-1,-1,1,-1,1,-1,-1,1,3
175,198,137,157,229,206,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
149,84,171,134,188,109,-1,-1,1,-1,-1,1,-1,-1,1,1,4
218,138,191,232,222,120,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
96,80,161,88,93,97,-1,-1,1,-1,-1,1,-1,-1,1,1,4
178,201,284,260,130,211,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
83,132,152,145,141,178,-1,-1,1,-1,-1,1,-1,-1,1,1,4
193,182,218,211,187,138,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
207,223,240,226,274,170,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
134,128,140,120,157,122,-1,-1,1,-1,-1,1,-1,-1,1,1,4
241,175,266,165,231,194,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
251,155,159,172,196,233,-1,1,-1,-1,1,-1,1,-1,-1,1,5
206,220,179,188,186,189,-1,1,-1,-1,1,-1,1,-1,-1,1,5
216,194,190,170,224,230,-1,1,-1,-1,1,-1,-1,1,-1,-1,0
153,182,222,195,159,193,-1,1,-1,-1,1,-1,1,-1,-1,1,3
134,137,95,175,112,162,-1,-1,1,-1,-1,1,-1,-1,1,1,4
181,234,341,298,221,209,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
165,74,126,259,269,166,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
170,124,107,112,172,155,-1,1,-1,-1,1,-1,1,-1,-1,1,3
184,114,143,106,116,94,-1,-1,1,-1,-1,1,-1,-1,1,1,4
182,217,216,239,205,163,-1,1,-1,-1,1,-1,1,-1,-1,1,5
197,193,192,195,170,117,-1,1,-1,-1,1,-1,1,-1,-1,1,3
226,223,88,177,239,206,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
152,119,93,149,194,196,-1,1,-1,-1,1,-1,1,-1,-1,1,3
188,240,242,200,164,169,-1,1,-1,-1,1,-1,1,-1,-1,1,3
195,194,276,270,214,210,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
121,91,132,93,104,72,-1,-1,1,-1,-1,1,-1,-1,1,1,4
193,227,217,189,198,241,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
185,180,205,153,124,149,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
137,211,143,214,151,136,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
129,157,129,177,106,115,-1,-1,1,-1,-1,1,-1,-1,1,1,4
185,205,154,213,177,170,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
289,202,266,203,253,267,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
118,146,116,251,215,190,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
259,231,192,139,150,213,-1,1,-1,-1,1,-1,1,-1,-1,1,3
207,163,239,255,216,170,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
169,114,113,183,204,162,-1,-1,1,-1,-1,1,-1,-1,1,1,4
216,183,202,214,271,169,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
257,193,174,222,242,170,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
168,138,184,188,165,149,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
165,131,151,163,123,73,-1,-1,1,-1,-1,1,-1,-1,1,1,4
167,105,146,139,141,105,-1,-1,1,-1,-1,1,-1,-1,1,1,4
131,149,128,191,176,234,-1,1,-1,-1,1,-1,1,-1,-1,1,3
245,166,244,206,226,270,-1,1,-1,-1,1,-1,1,-1,-1,1,5
138,170,220,269,108,211,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
307,268,241,186,312,253,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
119,109,96,101,146,137,-1,-1,1,-1,-1,1,-1,-1,1,1,4
217,226,143,217,230,189,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
106,89,146,122,153,108,-1,-1,1,-1,-1,1,-1,-1,1,1,4
284,258,251,205,224,286,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
250,169,198,200,255,195,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
87,110,137,130,176,156,-1,-1,1,-1,-1,1,-1,-1,1,1,4
237,288,286,134,211,300,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
125,80,64,179,189,137,-1,1,-1,-1,1,-1,1,-1,-1,1,3
68,271,129,202,170,46,-1,1,-1,-1,1,-1,1,-1,-1,1,5
154,154,148,218,153,148,-1,1,-1,-1,1,-1,1,-1,-1,1,5
160,229,169,237,164,202,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
166,118,125,98,112,100,-1,-1,1,-1,-1,1,-1,-1,1,1,4
169,141,218,204,233,194,-1,1,-1,-1,1,-1,1,-1,-1,1,5
226,233,291,270,228,243,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
138,110,95,89,105,104,-1,-1,1,-1,-1,1,-1,-1,1,1,4
145,212,121,248,161,180,-1,1,-1,-1,1,-1,1,-1,-1,1,5
164,251,258,212,221,172,-1,1,-1,-1,1,-1,1,-1,-1,1,5
180,160,112,207,212,169,-1,1,-1,-1,1,-1,1,-1,-1,1,3
222,262,331,288,294,231,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
247,330,364,312,301,271,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
198,207,301,299,209,230,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
169,116,139,147,143,105,-1,-1,1,-1,-1,1,-1,-1,1,1,4
265,158,88,250,282,164,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
203,241,102,205,216,157,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
235,216,184,147,224,215,-1,1,-1,-1,1,-1,1,-1,-1,1,5
92,172,110,88,18,94,-1,-1,1,-1,-1,1,-1,-1,1,1,4
142,148,90,222,210,116,-1,1,-1,-1,1,-1,1,-1,-1,1,3
285,242,249,203,248,299,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
210,242,282,253,207,247,-1,1,-1,1,-1,-1,1,-1,-1,-1,0
270,239,219,205,235,250,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
168,250,204,262,175,225,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
119,132,120,152,139,172,-1,-1,1,-1,-1,1,-1,-1,1,1,4
205,242,226,208,175,144,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
95,208,199,235,153,131,-1,1,-1,-1,1,-1,1,-1,-1,1,5
255,156,262,144,212,275,-1,1,-1,-1,1,-1,1,-1,-1,1,5
152,179,128,215,180,181,-1,-1,1,-1,-1,1,-1,-1,1,1,4
270,197,234,228,242,274,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
136,100,162,140,194,99,-1,-1,1,-1,-1,1,-1,-1,1,1,4
169,257,240,185,182,263,-1,1,-1,-1,1,-1,1,-1,-1,-1,0
125,158,196,193,160,142,-1,1,-1,-1,1,-1,1,-1,-1,1,3
218,183,173,136,165,154,-1,1,-1,-1,1,-1,1,-1,-1,1,3
220,152,93,175,191,164,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
119,131,122,133,128,153,-1,-1,1,-1,-1,1,-1,-1,1,1,4
233,229,165,187,221,222,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
97,109,116,132,103,118,-1,-1,1,-1,-1,1,-1,-1,1,1,4
112,142,103,125,108,154,-1,-1,1,-1,-1,1,-1,-1,1,1,4
139,163,232,200,138,118,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
116,100,59,54,75,132,-1,-1,1,-1,-1,1,-1,-1,1,1,4
168,157,155,217,141,220,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
251,235,287,237,272,248,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
227,148,102,216,161,188,-1,1,-1,-1,1,-1,1,-1,-1,1,5
154,272,256,202,206,194,-1,1,-1,-1,1,-1,1,-1,-1,1,5
195,184,192,143,117,171,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
236,145,189,157,248,245,-1,1,-1,-1,1,-1,1,-1,-1,1,5
191,179,184,141,136,219,-1,1,-1,-1,1,-1,1,-1,-1,1,3
206,176,174,243,197,146,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
102,62,139,74,148,98,-1,-1,1,-1,-1,1,-1,-1,1,1,4
103,143,149,135,105,129,-1,-1,1,-1,-1,1,-1,-1,1,1,4
128,157,217,152,135,120,-1,1,-1,-1,1,-1,1,-1,-1,1,3
143,212,207,133,208,130,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
152,198,227,141,127,152,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
220,184,96,218,243,149,-1,1,-1,-1,1,-1,1,-1,-1,-1,0
123,163,146,163,68,121,-1,-1,1,-1,-1,1,-1,-1,1,1,4
201,179,176,220,182,211,-1,1,-1,-1,1,-1,1,-1,-1,1,5
275,140,156,149,203,247,-1,1,-1,-1,1,-1,1,-1,-1,1,5
195,133,98,150,190,215,-1,1,-1,-1,1,-1,1,-1,-1,1,3
181,142,142,193,155,196,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
173,133,88,102,68,93,-1,-1,1,-1,-1,1,-1,-1,1,1,4
230,255,290,253,261,230,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
141,148,165,158,135,123,-1,-1,1,-1,-1,1,-1,-1,1,1,4
225,178,197,180,203,203,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
111,256,186,265,157,121,-1,1,-1,-1,1,-1,1,-1,-1,1,5
243,244,282,216,233,289,-1,1,-1,-1,1,-1,-1,1,-1,-1,0
143,174,248,199,226,180,-1,1,-1,-1,1,-1,1,-1,-1,1,5
242,220,213,166,179,240,-1,1,-1,-1,1,-1,1,-1,-1,1,3
255,238,129,131,171,270,-1,1,-1,-1,1,-1,1,-1,-1,1,3
102,108,112,110,140,145,-1,-1,1,-1,-1,1,-1,-1,1,1,4
157,194,199,259,129,215,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
185,225,185,128,215,163,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
156,141,167,159,127,87,-1,-1,1,-1,-1,1,-1,-1,1,1,4
145,109,173,206,224,171,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
173,227,197,270,173,216,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
314,298,247,214,349,299,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
224,214,210,177,156,205,-1,1,-1,-1,1,-1,1,-1,-1,1,5
190,169,226,225,219,210,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
222,266,197,237,220,249,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
223,161,252,204,190,179,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
118,109,138,153,166,142,-1,-1,1,-1,-1,1,-1,-1,1,1,4
307,219,158,125,295,227,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
98,277,256,249,194,154,-1,1,-1,-1,1,-1,1,-1,-1,1,5
256,223,254,235,188,291,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
193,283,269,306,177,268,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
186,95,155,232,216,163,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
192,191,166,123,182,107,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
197,167,241,182,194,206,-1,1,-1,-1,1,-1,1,-1,-1,-1,0
153,115,129,129,129,110,-1,-1,1,-1,-1,1,-1,-1,1,1,4
